codec,width,height,framerate,max_bps,avg_bps,max_packets,avg_packets

H264,640,480,30,1767366,1663738,287,193
H264,640,480,1,542482,202628,73,22
H264,320,240,1,305539,105132,33,12
H264,160,120,1,77523,27761,30,4
H264,80,60,1,25477,5015,8,1
H264,40,30,1,10883,2733,17,1
H264,24,18,1,4736,857,8,1

VP8,640,480,30,,1800000,,
VP8,640,480,1,560125,215505,69,25
VP8,320,240,1,250000,100000,,
VP8,160,120,1,80000,35000,,
VP8,80,60,1,25000,10000,4,2
VP8,40,30,1,8000,3000,2,1
VP8,20,15,1,30000,1000,12,1
VP8,8,6,1,23280,623,20,1
VP8,4,3,1,800,200,2,1
VP8,2,2,1,500,200,2,1

VP9,640,480,1,938107,332262,101,36
VP9,320,240,1,362843,176681,39,19
VP9,160,120,1,115525,51712,17,6
VP9,80,60,1,28240,11121,17,2
VP9,40,30,1,11857,3509,18,1
VP9,20,15,1,2744,853,17,1
VP9,8,6,1,1176,366,2,1
VP9,4,3,1,1192,287,2,1
VP9,2,2,1,616,175,2,1

AV1,640,480,30,2173743,1611135,249,187
AV1,640,480,1,467494,136069,51,15
AV1,320,240,1,192433,61447,21,7
AV1,160,120,1,51700,24987,8,3
AV1,80,60,1,15755,6243,17,1
AV1,40,30,1,4249,1885,17,1
AV1,20,15,1,2389,839,18,1
AV1,8,6,1,736,239,2,1
AV1,4,3,1,536,195,2,1
AV1,2,2,1,464,156,2,1
